spot_id,name,lat,lon,coast_orientation_deg,cluster
cap_frehel_08,Cap Fréhel - Nord-Ouest 08,48.688633,-2.27128,40,cap_frehel
cap_frehel_09,Cap Fréhel - Large 09,48.704067,-2.330578,40,cap_frehel
cap_frehel_10,Cap Fréhel - Côtier 10,48.732371,-2.347304,0,cap_frehel
erquy_01,Erquy - Nord 01,48.605366,-2.405249,20,erquy
erquy_02,Erquy - Nord-Est 02,48.630188,-2.509337,40,erquy
erquy_03,Erquy - Est 03,48.639405,-2.440122,40,erquy
erquy_04,Erquy - Sud-Est 04,48.663996,-2.488374,30,erquy
erquy_05,Erquy - Sud 05,48.620876,-2.488362,50,erquy
erquy_06,Erquy - Sud-Ouest 06,48.639261,-2.445312,20,erquy
erquy_07,Erquy - Ouest 07,48.650884,-2.498421,20,erquy
erquy_08,Erquy - Nord-Ouest 08,48.597854,-2.450002,20,erquy
erquy_09,Erquy - Large 09,48.64478,-2.425955,30,erquy
erquy_10,Erquy - Côtier 10,48.607206,-2.438997,60,erquy
paimpol_01,Paimpol - Nord 01,48.789626,-3.017483,310,paimpol
paimpol_02,Paimpol - Nord-Est 02,48.817901,-2.978464,10,paimpol
paimpol_03,Paimpol - Est 03,48.837206,-2.993928,340,paimpol
paimpol_04,Paimpol - Sud-Est 04,48.849738,-2.948804,350,paimpol
paimpol_05,Paimpol - Sud 05,48.824317,-3.017707,330,paimpol
paimpol_06,Paimpol - Sud-Ouest 06,48.839266,-2.960804,0,paimpol
paimpol_07,Paimpol - Ouest 07,48.824942,-3.045745,340,paimpol
paimpol_08,Paimpol - Nord-Ouest 08,48.82245,-3.053988,0,paimpol
paimpol_09,Paimpol - Large 09,48.848156,-3.023769,0,paimpol
paimpol_10,Paimpol - Côtier 10,48.828433,-2.983284,310,paimpol
brehat_01,Bréhat - Nord 01,48.806265,-2.960672,180,brehat
brehat_02,Bréhat - Nord-Est 02,48.857092,-2.935697,150,brehat
brehat_03,Bréhat - Est 03,48.840617,-2.945003,200,brehat
brehat_04,Bréhat - Sud-Est 04,48.873111,-2.971759,200,brehat
brehat_05,Bréhat - Sud 05,48.835408,-2.976491,150,brehat
brehat_06,Bréhat - Sud-Ouest 06,48.839476,-2.993523,190,brehat
brehat_07,Bréhat - Ouest 07,48.84504,-2.930459,150,brehat
brehat_08,Bréhat - Nord-Ouest 08,48.837896,-2.984248,200,brehat
brehat_09,Bréhat - Large 09,48.806082,-2.912885,150,brehat
brehat_10,Bréhat - Côtier 10,48.84506,-2.907164,180,brehat
treguier_01,Tréguier - Nord 01,48.806957,-3.201375,10,treguier
treguier_02,Tréguier - Nord-Est 02,48.818976,-3.192023,0,treguier
treguier_03,Tréguier - Est 03,48.784929,-3.272019,50,treguier
treguier_04,Tréguier - Sud-Est 04,48.789806,-3.237984,0,treguier
treguier_05,Tréguier - Sud 05,48.839407,-3.279972,40,treguier
treguier_06,Tréguier - Sud-Ouest 06,48.800551,-3.20597,10,treguier
treguier_07,Tréguier - Ouest 07,48.822806,-3.286025,50,treguier
treguier_08,Tréguier - Nord-Ouest 08,48.835881,-3.223504,40,treguier
treguier_09,Tréguier - Large 09,48.8423,-3.257821,20,treguier
treguier_10,Tréguier - Côtier 10,48.810693,-3.221077,10,treguier
perros_guirec_01,Perros-Guirec - Nord 01,48.827985,-3.48348,330,perros_guirec
perros_guirec_02,Perros-Guirec - Nord-Est 02,48.807518,-3.510728,20,perros_guirec
perros_guirec_03,Perros-Guirec - Est 03,48.798894,-3.457553,0,perros_guirec
perros_guirec_04,Perros-Guirec - Sud-Est 04,48.857568,-3.464701,10,perros_guirec
perros_guirec_05,Perros-Guirec - Sud 05,48.827195,-3.45553,20,perros_guirec
perros_guirec_06,Perros-Guirec - Sud-Ouest 06,48.799292,-3.408351,330,perros_guirec
perros_guirec_07,Perros-Guirec - Ouest 07,48.845663,-3.485208,350,perros_guirec
perros_guirec_08,Perros-Guirec - Nord-Ouest 08,48.80756,-3.494723,10,perros_guirec
perros_guirec_09,Perros-Guirec - Large 09,48.838718,-3.470015,330,perros_guirec
perros_guirec_10,Perros-Guirec - Côtier 10,48.820965,-3.488623,10,perros_guirec
tregastel_01,Trégastel - Nord 01,48.841214,-3.544207,340,tregastel
tregastel_02,Trégastel - Nord-Est 02,48.833805,-3.507711,0,tregastel
tregastel_03,Trégastel - Est 03,48.834623,-3.557549,350,tregastel
tregastel_04,Trégastel - Sud-Est 04,48.803125,-3.56994,300,tregastel
tregastel_05,Trégastel - Sud 05,48.863566,-3.555714,310,tregastel
tregastel_06,Trégastel - Sud-Ouest 06,48.851484,-3.536907,350,tregastel
tregastel_07,Trégastel - Ouest 07,48.822895,-3.507256,340,tregastel
tregastel_08,Trégastel - Nord-Ouest 08,48.813263,-3.573317,320,tregastel
tregastel_09,Trégastel - Large 09,48.854954,-3.502544,330,tregastel
tregastel_10,Trégastel - Côtier 10,48.861072,-3.471132,330,tregastel
roscoff_01,Roscoff - Nord 01,48.755816,-3.976698,280,roscoff
roscoff_02,Roscoff - Nord-Est 02,48.698995,-3.950768,290,roscoff
roscoff_03,Roscoff - Est 03,48.717027,-3.934269,280,roscoff
roscoff_04,Roscoff - Sud-Est 04,48.709177,-4.016395,320,roscoff
roscoff_05,Roscoff - Sud 05,48.696611,-3.964869,270,roscoff
roscoff_06,Roscoff - Sud-Ouest 06,48.716978,-3.965022,320,roscoff
roscoff_07,Roscoff - Ouest 07,48.70973,-4.027002,310,roscoff
roscoff_08,Roscoff - Nord-Ouest 08,48.755565,-4.03569,270,roscoff
roscoff_09,Roscoff - Large 09,48.709742,-4.020482,270,roscoff
roscoff_10,Roscoff - Côtier 10,48.730315,-3.959519,300,roscoff
morlaix_baie_01,Baie de Morlaix - Nord 01,48.704349,-3.927512,320,morlaix_baie
morlaix_baie_02,Baie de Morlaix - Nord-Est 02,48.666702,-3.890217,330,morlaix_baie
morlaix_baie_03,Baie de Morlaix - Est 03,48.657219,-3.865719,320,morlaix_baie
morlaix_baie_04,Baie de Morlaix - Sud-Est 04,48.677273,-3.93226,290,morlaix_baie
morlaix_baie_05,Baie de Morlaix - Sud 05,48.650759,-3.865408,300,morlaix_baie
morlaix_baie_06,Baie de Morlaix - Sud-Ouest 06,48.716976,-3.890555,300,morlaix_baie
morlaix_baie_07,Baie de Morlaix - Ouest 07,48.694229,-3.915671,290,morlaix_baie
morlaix_baie_08,Baie de Morlaix - Nord-Ouest 08,48.688759,-3.9416,310,morlaix_baie
morlaix_baie_09,Baie de Morlaix - Large 09,48.705273,-3.954967,280,morlaix_baie
morlaix_baie_10,Baie de Morlaix - Côtier 10,48.719715,-3.958854,290,morlaix_baie
abers_01,Abers - Nord 01,48.609564,-4.642123,290,abers
abers_02,Abers - Nord-Est 02,48.643587,-4.559644,310,abers
abers_03,Abers - Est 03,48.634068,-4.646996,270,abers
abers_04,Abers - Sud-Est 04,48.595262,-4.598534,310,abers
abers_05,Abers - Sud 05,48.611199,-4.614229,290,abers
abers_06,Abers - Sud-Ouest 06,48.648539,-4.589892,290,abers
abers_07,Abers - Ouest 07,48.590845,-4.569514,310,abers
abers_08,Abers - Nord-Ouest 08,48.602411,-4.618672,310,abers
abers_09,Abers - Large 09,48.585795,-4.603447,270,abers
abers_10,Abers - Côtier 10,48.638704,-4.564493,320,abers
portsall_01,Portsall - Nord 01,48.580836,-4.659161,340,portsall
portsall_02,Portsall - Nord-Est 02,48.545802,-4.706879,320,portsall
portsall_03,Portsall - Est 03,48.540851,-4.658313,320,portsall
portsall_04,Portsall - Sud-Est 04,48.543038,-4.663289,310,portsall
portsall_05,Portsall - Sud 05,48.57877,-4.658377,290,portsall
portsall_06,Portsall - Sud-Ouest 06,48.555177,-4.732606,280,portsall
portsall_07,Portsall - Ouest 07,48.580902,-4.665873,280,portsall
portsall_08,Portsall - Nord-Ouest 08,48.607109,-4.758635,330,portsall
portsall_09,Portsall - Large 09,48.583409,-4.734488,310,portsall
portsall_10,Portsall - Côtier 10,48.567179,-4.739767,310,portsall
le_conquet_01,Le Conquet - Nord 01,48.393208,-4.726517,320,le_conquet
le_conquet_02,Le Conquet - Nord-Est 02,48.344583,-4.789767,310,le_conquet
le_conquet_03,Le Conquet - Est 03,48.336383,-4.734798,310,le_conquet
le_conquet_04,Le Conquet - Sud-Est 04,48.354165,-4.771072,270,le_conquet
le_conquet_05,Le Conquet - Sud 05,48.390291,-4.739733,310,le_conquet
le_conquet_06,Le Conquet - Sud-Ouest 06,48.353788,-4.749464,280,le_conquet
le_conquet_07,Le Conquet - Ouest 07,48.335529,-4.769646,330,le_conquet
le_conquet_08,Le Conquet - Nord-Ouest 08,48.383041,-4.772401,270,le_conquet
le_conquet_09,Le Conquet - Large 09,48.354037,-4.804925,330,le_conquet
le_conquet_10,Le Conquet - Côtier 10,48.381903,-4.725031,320,le_conquet
iroise_01,Mer d'Iroise - Nord 01,48.39596,-4.905127,180,iroise
iroise_02,Mer d'Iroise - Nord-Est 02,48.372314,-4.93544,220,iroise
iroise_03,Mer d'Iroise - Est 03,48.374231,-4.962205,170,iroise
iroise_04,Mer d'Iroise - Sud-Est 04,48.398269,-4.945602,230,iroise
iroise_05,Mer d'Iroise - Sud 05,48.391422,-4.900045,190,iroise
iroise_06,Mer d'Iroise - Sud-Ouest 06,48.412147,-4.878523,220,iroise
iroise_07,Mer d'Iroise - Ouest 07,48.383244,-4.970258,230,iroise
iroise_08,Mer d'Iroise - Nord-Ouest 08,48.409927,-4.91467,190,iroise
iroise_09,Mer d'Iroise - Large 09,48.364546,-4.9834,220,iroise
iroise_10,Mer d'Iroise - Côtier 10,48.399565,-4.92397,190,iroise
ouessant_01,Ouessant - Nord 01,48.444378,-5.118461,270,ouessant
ouessant_02,Ouessant - Nord-Est 02,48.463546,-5.08014,250,ouessant
ouessant_03,Ouessant - Est 03,48.452154,-5.08237,210,ouessant
ouessant_04,Ouessant - Sud-Est 04,48.45214,-5.067196,250,ouessant
ouessant_05,Ouessant - Sud 05,48.434639,-5.111239,230,ouessant
ouessant_06,Ouessant - Sud-Ouest 06,48.429022,-5.160915,270,ouessant
ouessant_07,Ouessant - Ouest 07,48.468837,-5.155193,240,ouessant
ouessant_08,Ouessant - Nord-Ouest 08,48.482775,-5.122864,250,ouessant
ouessant_09,Ouessant - Large 09,48.462135,-5.150377,250,ouessant
ouessant_10,Ouessant - Côtier 10,48.439501,-5.155529,250,ouessant
molene_01,Molène - Nord 01,48.40241,-4.975841,170,molene
molene_02,Molène - Nord-Est 02,48.400239,-4.939057,120,molene
molene_03,Molène - Est 03,48.39868,-4.939344,170,molene
molene_04,Molène - Sud-Est 04,48.39141,-5.014715,150,molene
molene_05,Molène - Sud 05,48.417378,-4.994703,180,molene
molene_06,Molène - Sud-Ouest 06,48.429683,-4.989027,150,molene
molene_07,Molène - Ouest 07,48.397377,-4.932778,170,molene
molene_08,Molène - Nord-Ouest 08,48.374318,-4.939412,180,molene
molene_09,Molène - Large 09,48.402248,-5.003211,130,molene
molene_10,Molène - Côtier 10,48.392801,-5.003464,180,molene
rade_brest_01,Rade de Brest - Nord 01,48.306405,-4.439571,270,rade_brest
rade_brest_02,Rade de Brest - Nord-Est 02,48.342473,-4.449346,250,rade_brest
rade_brest_03,Rade de Brest - Est 03,48.352537,-4.388191,250,rade_brest
rade_brest_04,Rade de Brest - Sud-Est 04,48.345894,-4.39395,270,rade_brest
rade_brest_05,Rade de Brest - Sud 05,48.335216,-4.460966,210,rade_brest
rade_brest_06,Rade de Brest - Sud-Ouest 06,48.367975,-4.408169,230,rade_brest
rade_brest_07,Rade de Brest - Ouest 07,48.374056,-4.408365,210,rade_brest
rade_brest_08,Rade de Brest - Nord-Ouest 08,48.320773,-4.434811,240,rade_brest
rade_brest_09,Rade de Brest - Large 09,48.311152,-4.386355,270,rade_brest
rade_brest_10,Rade de Brest - Côtier 10,48.308614,-4.472993,250,rade_brest
crozon_01,Crozon - Nord 01,48.207843,-4.581236,240,crozon
crozon_02,Crozon - Nord-Est 02,48.200371,-4.517743,260,crozon
crozon_03,Crozon - Est 03,48.246805,-4.522769,270,crozon
crozon_04,Crozon - Sud-Est 04,48.233363,-4.532756,250,crozon
crozon_05,Crozon - Sud 05,48.222658,-4.578202,210,crozon
crozon_06,Crozon - Sud-Ouest 06,48.237089,-4.547205,260,crozon
crozon_07,Crozon - Ouest 07,48.240687,-4.60802,240,crozon
crozon_08,Crozon - Nord-Ouest 08,48.241572,-4.584385,220,crozon
crozon_09,Crozon - Large 09,48.238425,-4.60281,220,crozon
crozon_10,Crozon - Côtier 10,48.209718,-4.624702,210,crozon
douarnenez_01,Douarnenez - Nord 01,48.08801,-4.359697,295,douarnenez
douarnenez_02,Douarnenez - Nord-Est 02,48.114551,-4.322943,255,douarnenez
douarnenez_03,Douarnenez - Est 03,48.106161,-4.301783,275,douarnenez
douarnenez_04,Douarnenez - Sud-Est 04,48.119851,-4.325624,275,douarnenez
douarnenez_05,Douarnenez - Sud 05,48.064784,-4.317521,295,douarnenez
douarnenez_06,Douarnenez - Sud-Ouest 06,48.112759,-4.384495,265,douarnenez
douarnenez_07,Douarnenez - Ouest 07,48.091615,-4.365529,285,douarnenez
douarnenez_08,Douarnenez - Nord-Ouest 08,48.102809,-4.355286,295,douarnenez
douarnenez_09,Douarnenez - Large 09,48.098687,-4.345624,305,douarnenez
douarnenez_10,Douarnenez - Côtier 10,48.071255,-4.306047,305,douarnenez
cap_sizun_01,Cap Sizun - Nord 01,47.999663,-4.589807,290,cap_sizun
cap_sizun_02,Cap Sizun - Nord-Est 02,48.060788,-4.545952,240,cap_sizun
cap_sizun_03,Cap Sizun - Est 03,48.050582,-4.546792,260,cap_sizun
cap_sizun_04,Cap Sizun - Sud-Est 04,48.035121,-4.505254,230,cap_sizun
cap_sizun_05,Cap Sizun - Sud 05,48.012394,-4.533166,280,cap_sizun
cap_sizun_06,Cap Sizun - Sud-Ouest 06,48.044984,-4.560662,240,cap_sizun
cap_sizun_07,Cap Sizun - Ouest 07,48.052488,-4.602831,260,cap_sizun
cap_sizun_08,Cap Sizun - Nord-Ouest 08,48.037277,-4.559748,270,cap_sizun
cap_sizun_09,Cap Sizun - Large 09,48.023627,-4.530093,250,cap_sizun
cap_sizun_10,Cap Sizun - Côtier 10,48.043576,-4.5553,250,cap_sizun
audierne_01,Audierne - Nord 01,48.022876,-4.489502,240,audierne
audierne_02,Audierne - Nord-Est 02,47.994652,-4.563328,210,audierne
audierne_03,Audierne - Est 03,48.006036,-4.539352,190,audierne
audierne_04,Audierne - Sud-Est 04,48.015827,-4.529774,220,audierne
audierne_05,Audierne - Sud 05,48.013766,-4.493525,250,audierne
audierne_06,Audierne - Sud-Ouest 06,48.00534,-4.528261,240,audierne
audierne_07,Audierne - Ouest 07,47.972297,-4.502552,210,audierne
audierne_08,Audierne - Nord-Ouest 08,47.972927,-4.486667,240,audierne
audierne_09,Audierne - Large 09,48.023624,-4.558464,240,audierne
audierne_10,Audierne - Côtier 10,48.006389,-4.55111,190,audierne
penmarch_01,Penmarc'h - Nord 01,47.779391,-4.348343,160,penmarch
penmarch_02,Penmarc'h - Nord-Est 02,47.792872,-4.375886,170,penmarch
penmarch_03,Penmarc'h - Est 03,47.797599,-4.382108,170,penmarch
penmarch_04,Penmarc'h - Sud-Est 04,47.780722,-4.385232,170,penmarch
penmarch_05,Penmarc'h - Sud 05,47.805434,-4.416794,190,penmarch
penmarch_06,Penmarc'h - Sud-Ouest 06,47.790368,-4.371135,200,penmarch
penmarch_07,Penmarc'h - Ouest 07,47.779888,-4.378331,150,penmarch
penmarch_08,Penmarc'h - Nord-Ouest 08,47.775406,-4.389391,180,penmarch
penmarch_09,Penmarc'h - Large 09,47.777912,-4.402044,190,penmarch
penmarch_10,Penmarc'h - Côtier 10,47.794875,-4.347024,200,penmarch
loctudy_01,Loctudy - Nord 01,47.813348,-4.22098,160,loctudy
loctudy_02,Loctudy - Nord-Est 02,47.841122,-4.192655,130,loctudy
loctudy_03,Loctudy - Est 03,47.836707,-4.176516,120,loctudy
loctudy_04,Loctudy - Sud-Est 04,47.853575,-4.213672,150,loctudy
loctudy_05,Loctudy - Sud 05,47.852727,-4.195047,130,loctudy
loctudy_06,Loctudy - Sud-Ouest 06,47.828611,-4.222208,140,loctudy
loctudy_07,Loctudy - Ouest 07,47.86069,-4.180122,110,loctudy
loctudy_08,Loctudy - Nord-Ouest 08,47.816175,-4.151092,150,loctudy
loctudy_09,Loctudy - Large 09,47.823749,-4.162361,130,loctudy
loctudy_10,Loctudy - Côtier 10,47.816673,-4.214061,160,loctudy
concarneau_01,Concarneau - Nord 01,47.88148,-3.849109,140,concarneau
concarneau_02,Concarneau - Nord-Est 02,47.839349,-3.922754,120,concarneau
concarneau_03,Concarneau - Est 03,47.830986,-3.932133,130,concarneau
concarneau_04,Concarneau - Sud-Est 04,47.886351,-3.884278,120,concarneau
concarneau_05,Concarneau - Sud 05,47.882221,-3.9174,120,concarneau
concarneau_06,Concarneau - Sud-Ouest 06,47.850414,-3.951235,140,concarneau
concarneau_07,Concarneau - Ouest 07,47.853659,-3.894275,120,concarneau
concarneau_08,Concarneau - Nord-Ouest 08,47.840366,-3.8478,140,concarneau
concarneau_09,Concarneau - Large 09,47.885793,-3.901383,160,concarneau
concarneau_10,Concarneau - Côtier 10,47.837747,-3.901674,110,concarneau
glenan_01,Glénan - Nord 01,47.722914,-3.945317,210,glenan
glenan_02,Glénan - Nord-Est 02,47.730154,-3.968613,160,glenan
glenan_03,Glénan - Est 03,47.697018,-3.985046,170,glenan
glenan_04,Glénan - Sud-Est 04,47.722076,-3.925344,150,glenan
glenan_05,Glénan - Sud 05,47.723792,-3.943344,160,glenan
glenan_06,Glénan - Sud-Ouest 06,47.692461,-3.999598,170,glenan
glenan_07,Glénan - Ouest 07,47.746172,-3.949285,180,glenan
glenan_08,Glénan - Nord-Ouest 08,47.719599,-3.951938,150,glenan
glenan_09,Glénan - Large 09,47.71182,-3.957919,160,glenan
glenan_10,Glénan - Côtier 10,47.736662,-4.005892,180,glenan
lorient_01,Lorient - Nord 01,47.699777,-3.342921,160,lorient
lorient_02,Lorient - Nord-Est 02,47.745333,-3.402317,160,lorient
lorient_03,Lorient - Est 03,47.722765,-3.33005,190,lorient
lorient_04,Lorient - Sud-Est 04,47.710046,-3.43157,170,lorient
lorient_05,Lorient - Sud 05,47.753907,-3.341895,160,lorient
lorient_06,Lorient - Sud-Ouest 06,47.718397,-3.3502,180,lorient
lorient_07,Lorient - Ouest 07,47.719608,-3.389593,180,lorient
lorient_08,Lorient - Nord-Ouest 08,47.725438,-3.407896,160,lorient
lorient_09,Lorient - Large 09,47.695164,-3.328553,190,lorient
lorient_10,Lorient - Côtier 10,47.720268,-3.424926,160,lorient
groix_01,Groix - Nord 01,47.645301,-3.449038,190,groix
groix_02,Groix - Nord-Est 02,47.627933,-3.428976,250,groix
groix_03,Groix - Est 03,47.636115,-3.44885,240,groix
groix_04,Groix - Sud-Est 04,47.653235,-3.453867,210,groix
groix_05,Groix - Sud 05,47.656084,-3.520663,200,groix
groix_06,Groix - Sud-Ouest 06,47.659955,-3.463861,240,groix
groix_07,Groix - Ouest 07,47.592376,-3.448284,190,groix
groix_08,Groix - Nord-Ouest 08,47.59807,-3.478606,230,groix
groix_09,Groix - Large 09,47.650343,-3.4321,200,groix
groix_10,Groix - Côtier 10,47.635118,-3.453482,210,groix
quiberon_01,Quiberon - Nord 01,47.478674,-3.04765,140,quiberon
quiberon_02,Quiberon - Nord-Est 02,47.495734,-3.137811,180,quiberon
quiberon_03,Quiberon - Est 03,47.482688,-3.072218,160,quiberon
quiberon_04,Quiberon - Sud-Est 04,47.507018,-3.077255,170,quiberon
quiberon_05,Quiberon - Sud 05,47.477336,-3.036062,140,quiberon
quiberon_06,Quiberon - Sud-Ouest 06,47.482026,-3.041703,140,quiberon
quiberon_07,Quiberon - Ouest 07,47.445664,-3.139205,120,quiberon
quiberon_08,Quiberon - Nord-Ouest 08,47.478591,-3.075974,150,quiberon
quiberon_09,Quiberon - Large 09,47.498779,-3.099046,180,quiberon
quiberon_10,Quiberon - Côtier 10,47.496259,-3.144632,160,quiberon
